MARCA,MODELO,IMAGENES,Precio,LINK,CALIDAD,PRECIO CON PERDIDA,PERDIDA,Revisor,Re-revisor,Review Quality OK?,EXPLICACION
,,,21.500,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/civic/gasolina/1-0-vtec-turbo-executive/1062360/,REGULAR,20425,1.075,Lautaro,,,"Imagenes de calidad media en un entorno visiblemente molesto, angulos y cantidad de fotos mejorable"
,,,14.900,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/jazz/gasolina/1-3-i-vtec-cvt-comfort/1062073/,REGULAR,14155,745,Lautaro,,,"Imagenes de calidad media en un entorno visiblemente molesto, angulos y cantidad de fotos mejorable"
,,,26.900,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/hr-v/gasolina/1-5-i-mmd-4x2-advance/1061901/,REGULAR,25555,1.345,Lautaro,,,"Entorno demasiado cargado, buenos angulos, cantidad y calidad de fotos mejorables"
,,,36.500,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/zr-v/gasolina/2-0-i-mmd-4x2-cvt-advance/1056368/,REGULAR,34675,1.825,Lautaro,,,"Imagenes de calidad media en un entorno visiblemente molesto, angulos mejorables"
,,,29.900,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/hr-v/gasolina/1-5-i-mmd-4x2-advance-style/1050697/,BIEN,"29152,5",748,Lautaro,,,"Cantidad de fotos justas, angulos ligeramente mejorables y hay una persona en la foto"
,,,27.500,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/cr-v-hibrido/gasolina/2-0-i-mmd-4x2-elegance/1043082/,BIEN,"26812,5",688,Lautaro,,,"Cantidad de fotos justas, angulos ligeramente mejorables y hay cosas dentro del auto"
,,,24.900,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/jazz-hybrid/gasolina/1-5-i-mmd-109cv-auto-crosstar/1042813/,REGULAR,23655,1.245,Lautaro,,,"iluminacion irregular, calidad de foto mejorable, objetos dentro del auto, buenos angulos"
,,,25.900,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/hr-v/gasolina/1-5-i-mmd-4x2-advance/1036368/,BIEN,"25252,5",648,Lautaro,,,"Encuadre un poquito descentrado, angulos ligeramente mejorables, cantidad de fotos justas y buena iluminacion"
,,,32.500,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/hr-v/gasolina/1-5-i-mmd-4x2-advance/1009854/,MALA,"30062,5",2.438,Lautaro,,,"Fotos con mucho ""Bloom"", Calidad muy mejorable, cantidad de fotos escasa "
,,,29.500,https://www.darsanauto.com/coches/segunda-mano/madrid/honda/hr-v/gasolina/1-5-i-mmd-4x2-advance/999889/,BIEN,"28762,5",738,Lautaro,,,"Buena ilumniacion, angulos ligeramente mejorables, cantidad y calidad de fotos buena"
,,,36.100,https://www.darsanauto.com/coches/nuevos/honda/civic-e-hev/berlina-5-puertas/2022/,MUY BIEN,36100,0,Lautaro,,,Imagenes profesionales de Stock
,,,51.545,https://www.darsanauto.com/coches/nuevos/honda/cr-v-hibrido/todoterreno-5-puertas/2023/,MUY BIEN,51545,0,Lautaro,,,Imagenes profesionales de Stock
,,,30.550,https://www.darsanauto.com/coches/nuevos/honda/crosstar/berlina-5-puertas/2023/,MUY BIEN,30550,0,Lautaro,,,Imagenes profesionales de Stock
,,,52.400,https://www.darsanauto.com/coches/nuevos/honda/e-ny1/todoterreno-5-puertas/2023/,MUY BIEN,52400,0,Lautaro,,,Imagenes profesionales de Stock
,,,35.260,https://www.darsanauto.com/coches/nuevos/honda/hr-v/todoterreno-5-puertas/2025/,MUY BIEN,35260,0,Lautaro,,,Imagenes profesionales de Stock
,,,28.800,https://www.darsanauto.com/coches/nuevos/honda/jazz-hybrid/berlina-5-puertas/2024/,MUY BIEN,28800,0,Lautaro,,,Imagenes profesionales de Stock
,,,43.150,https://www.darsanauto.com/coches/nuevos/honda/zr-v/todoterreno-5-puertas/2023/,MUY BIEN,43150,0,Lautaro,,,Imagenes profesionales de Stock
,,,58.900,https://www.coches.net/honda-civic-2.0-vtec-turbo-type-r-5p-gasolina-2024-en-madrid-60258810-covo.aspx,MUY MALA,53010,5.890,Lautaro,,,"Escasas imagenes para evaluar correctamente, iluminacion irregular"
,,,33.200,https://www.coches.net/km-0/honda/civic/madrid/nuevo-20-immd-elegance-cvt-electrico-hibrido-60641172-nuvn.aspx,MUY BIEN,33200,0,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche"
,,,33.900,https://www.coches.net/honda-civic-2.0-immd-elegance-cvt-5p-electrico-/-hibrido-2025-en-madrid-60325797-covo.aspx,MUY BIEN,33900,0,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche"
,,,34.400,https://www.coches.net/honda-civic-2.0-immd-elegance-cvt-5p-electrico-/-hibrido-2024-en-madrid-59580380-covo.aspx,MUY BIEN,34400,0,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche"
,,,33.900,https://www.coches.net/honda-civic-2.0-immd-elegance-cvt-5p-electrico-/-hibrido-2024-en-madrid-59789967-covo.aspx,MUY BIEN,33900,0,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche"
,,,38.900,https://www.coches.net/km-0/honda/civic/madrid/nuevo-20-immd-advance-cvt-electrico-hibrido-60525648-nuvn.aspx,BIEN,"37927,5",973,Lautaro,,,"Encuadre ligeramente descentrado, angulos un poco cerrados y objetos dentro del coche"
,,,39.800,https://www.coches.net/honda-civic-2.0-immd-advance-cvt-5p-electrico-/-hibrido-2024-en-madrid-59580639-covo.aspx,BIEN,38805,995,Lautaro,,,"Encuadre ligeramente descentrado, angulos un poco cerrados y objetos dentro del coche"
,,,35.700,https://www.coches.net/honda-civic-2.0-immd-sport-cvt-5p-electrico-/-hibrido-2025-en-madrid-60258768-covo.aspx,BIEN,"34807,5",893,Lautaro,,,"Encuadre ligeramente descentrado, buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche"
,,,58.900,https://www.coches.net/honda-civic-2.0-vtec-turbo-type-r-5p-gasolina-2025-en-madrid-60259212-covo.aspx,BIEN,"57427,5",1.473,Lautaro,,,"Pocas fotos, Objeto dentro del coche, entorno visualmente cerrado y molesto, buena calidad, angulos e iluminacion"
,,,38.300,https://www.coches.net/km-0/honda/civic/madrid/nuevo-20-immd-advance-cvt-electrico-hibrido-60678087-nuvn.aspx,MUY BIEN,38300,0,Lautaro,,,Imagenes profesionales de Stock
,,,35.900,https://www.coches.net/honda-civic-2.0-immd-sport-cvt-5p-electrico-/-hibrido-2024-en-madrid-59789951-covo.aspx,BIEN,"35002,5",898,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta pero con un ligero ""bloom"", objetos dentro del coche"
,,,35.500,https://www.coches.net/honda-civic-2.0-immd-sport-cvt-5p-electrico-/-hibrido-2024-en-madrid-59650162-covo.aspx,BIEN,"34612,5",888,Lautaro,,,"Pocas fotos, Objeto dentro del coche,encuadre ligeramente descentrado, buena calidad, angulos e iluminacion"
,,,35.500,https://www.coches.net/honda-civic-2.0-immd-sport-cvt-5p-electrico-/-hibrido-2025-en-madrid-60525658-covo.aspx,MUY BIEN,35500,0,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche"
,,,35.900,https://www.coches.net/honda-civic-2.0-immd-sport-cvt-5p-electrico-/-hibrido-2025-en-madrid-60259342-covo.aspx,BIEN,"35002,5",898,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion un poco irregular, objetos dentro del coche"
,,,39.800,https://www.coches.net/honda-civic-2.0-immd-advance-cvt-5p-electrico-/-hibrido-2025-en-madrid-60259352-covo.aspx,BIEN,38805,995,Lautaro,,,"Encuadre ligeramente descentrado, angulos un poco cerrados y objetos dentro del coche"
,,,24.900,https://www.coches.net/km-0/honda/jazz/madrid/nuevo-15-immd-crosstar-electrico-hibrido-60641185-nuvn.aspx,BIEN,"24277,5",623,Lautaro,,,"Encuadre ligeramente descentrado, angulos correctos y objetos dentro del coche"
,,,26.800,https://www.coches.net/honda-jazz-1.5-immd-advance-5p-electrico-/-hibrido-2025-en-madrid-59580194-covo.aspx,MUY BIEN,26800,0,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche"
,,,47.900,https://www.coches.net/honda-cr-v-2.0-immd-hev-4x2-elegance-5p-electrico-/-hibrido-2024-en-madrid-59585283-covo.aspx,MUY BIEN,47900,0,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche"
,,,48.800,https://www.coches.net/honda-cr-v-2.0-immd-hev-4x2-elegance-5p-electrico-/-hibrido-2024-en-madrid-59580696-covo.aspx,MUY BIEN,48800,0,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta,"
,,,48.800,https://www.coches.net/honda-cr-v-2.0-immd-hev-4x2-elegance-5p-electrico-/-hibrido-2024-en-madrid-59580682-covo.aspx,BIEN,47580,1.220,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion ligeramente irregular, objetos dentro del coche"
,,,48.800,https://www.coches.net/honda-cr-v-2.0-immd-hev-4x2-elegance-5p-electrico-/-hibrido-2024-en-madrid-59580670-covo.aspx,MUY BIEN,48800,0,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche"
,,,28.450,https://www.coches.net/honda-jazz-1.5-immd-crosstar-5p-electrico-/-hibrido-2025-en-madrid-60304694-covo.aspx,BIEN,"27738,75",711,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche, cantidad de fotos mejorable"
,,,48.800,https://www.coches.net/honda-cr-v-2.0-immd-hev-4x2-elegance-5p-electrico-/-hibrido-2025-en-madrid-60162543-covo.aspx,BIEN,47580,1.220,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche, cantidad de fotos mejorable"
,,,53.900,https://www.coches.net/honda-cr-v-2.0-immd-hev-4x4-advance-5p-electrico-/-hibrido-2025-en-madrid-60259163-covo.aspx,BIEN,"52552,5",1.348,Lautaro,,,"Buena calidad de imagen,angulos ligeramente inclinados, iluminacion correcta, objetos dentro del coche"
,,,31.000,https://www.coches.net/honda-hr-v-1.5-immd-elegance-4x2-5p-electrico-/-hibrido-2025-en-madrid-60325819-covo.aspx,MUY BIEN,31000,0,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche"
,,,32.000,https://www.coches.net/honda-hr-v-1.5-immd-elegance-4x2-5p-electrico-/-hibrido-2025-en-madrid-60275355-covo.aspx,MUY BIEN,32000,0,Lautaro,,,Imagenes profesionales de Stock
,,,35.500,https://www.coches.net/km-0/honda/hr-v/madrid/nuevo-15-immd-advance-4x2-electrico-hibrido-60268686-nuvn.aspx,BIEN,"34612,5",888,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche, cantidad de fotos mejorable"
,,,35.500,https://www.coches.net/honda-hr-v-1.5-immd-advance-4x2-5p-electrico-/-hibrido-2025-en-madrid-60304666-covo.aspx,REGULAR,33725,1.775,Lautaro,,,"Angulos un poco inclinados, iluminacion ligeramente mejorable, objetos dentro del coche"
,,,39.400,https://www.coches.net/km-0/honda/hr-v/madrid/nuevo-15-immd-advance-style-plus-4x2-electrico-hibrido-60254922-nuvn.aspx,REGULAR,37430,1.970,Lautaro,,,"Angulos un poco inclinados, iluminacion ligeramente mejorable, objetos dentro del coche"
,,,41.600,https://www.coches.net/honda-e:ny1-advance-5p-electrico-/-hibrido-2025-en-madrid-60149791-covo.aspx,MUY BIEN,41600,0,Lautaro,,,"Son dos autos distintos pero tienen buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche"
,,,44.400,https://www.coches.net/honda-zr-v-2.0-immd-4x2-advance-cvt-5p-electrico-/-hibrido-2023-en-madrid-59580944-covo.aspx,BIEN,43290,1.110,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion ligeramente mejorable, objetos dentro del coche"
,,,40.700,https://www.coches.net/honda-zr-v-2.0-immd-4x2-elegance-cvt-5p-electrico-/-hibrido-2024-en-madrid-59580851-covo.aspx,MUY BIEN,40700,0,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion correcta, objetos dentro del coche"
,,,42.400,https://www.coches.net/honda-zr-v-2.0-immd-4x2-sport-cvt-5p-electrico-/-hibrido-2023-en-madrid-59580825-covo.aspx,REGULAR,40280,2.120,Lautaro,,,"Angulos un poco inclinados, buena iluminacion, encuadre un poco descentrado, objetos dentro del coche"
,,,40.700,https://www.coches.net/honda-zr-v-2.0-immd-4x2-elegance-cvt-5p-electrico-/-hibrido-2024-en-madrid-59580794-covo.aspx,REGULAR,38665,2.035,Lautaro,,,"Buenos angulos y calidad de imagen, iluminacion ligeramente mejorable, objetos dentro del coche y una persona en las fotos"
,,,44.400,https://www.coches.net/honda-zr-v-2.0-immd-4x2-advance-cvt-5p-electrico-/-hibrido-2023-en-madrid-59580777-covo.aspx,REGULAR,42180,2.220,Lautaro,,,"Angulos un poco inclinados, buena iluminacion, encuadre un poco descentrado, objetos dentro del coche"